"","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number"
"527","16-Feb-16","Lead",9,"Copper",80,"FIELDING ST   ","FLINT",48503,"FS0204","Galvanized","KITCHEN",1,"02-Mar-16","Lead",9,"Copper",90,"FIELDING ST   ","FLINT",48503,"FS0204","Galvanized","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",70,"FIELDING ST   ","FLINT",48503,"FS0204","Galvanized","KITCHEN",3,"30-Mar-16","Lead",3,"Copper",70,"FIELDING ST   ","FLINT",48503,"FS0204","Galvanized","KITCHEN",4
"516","16-Feb-16","Lead",6,"Copper",0,"MIDDLETON ST   ","FLINT",48503,"FS0206","Galvanized","KITCHEN",1,"02-Mar-16","Lead",3,"Copper",0,"MIDDLETON ST   ","FLINT",48503,"FS0206","Galvanized","KITCHEN",2,"16-Mar-16","Lead",9,"Copper",0,"MIDDLETON ST   ","FLINT",48503,"FS0206","Galvanized","KITCHEN",3,"30-Mar-16","Lead",7,"Copper",0,"MIDDLETON ST   ","FLINT",48503,"FS0206","Galvanized","KITCHEN",4
"431","16-Feb-16","Lead",0,"Copper",0,"MONROE ST   ","FLINT",48503,"FS0240","Galvanized","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"MONROE ST   ","FLINT",48503,"FS0240","Galvanized","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"MONROE ST   ","FLINT",48503,"FS0240","Galvanized","KITCHEN",3,"30-Mar-16","Lead",1,"Copper",0,"MONROE ST   ","FLINT",48503,"FS0240","Galvanized","KITCHEN",4
"26","16-Feb-16","Lead",0,"Copper",0,"KNAPP AVE   ","FLINT",48503,"FS0255","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"KNAPP AVE   ","FLINT",48503,"FS0255","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"KNAPP AVE   ","FLINT",48503,"FS0255","Copper","KITCHEN",3,"04-Apr-16","Lead",0,"Copper",0,"KNAPP AVE   ","FLINT",48503,"FS0255","Copper","KITCHEN",4
"240","16-Feb-16","Lead",2,"Copper",0,"BROWN ST   ","FLINT",48503,"FS0259","Copper","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",0,"BROWN ST   ","FLINT",48503,"FS0259","Copper","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",0,"BROWN ST   ","FLINT",48503,"FS0259","Copper","KITCHEN",3,"30-Mar-16","Lead",1,"Copper",0,"BROWN ST   ","FLINT",48503,"FS0259","Copper","KITCHEN",4
"31","16-Feb-16","Lead",0,"Copper",190,"WOODCROFT AVE   ","FLINT",48503,"FS0267","Copper","BATHROOM",1,"02-Mar-16","Lead",0,"Copper",170,"WOODCROFT AVE   ","FLINT",48503,"FS0267","Copper","BATHROOM",2,"16-Mar-16","Lead",1,"Copper",0,"WOODCROFT AVE   ","FLINT",48503,"FS0267","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"WOODCROFT AVE   ","FLINT",48503,"FS0267","Copper","KITCHEN",4
"196","16-Feb-16","Lead",1,"Copper",0,"IDA AVE   ","FLINT",48503,"FS0269","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"IDA AVE   ","FLINT",48503,"FS0269","Copper","KITCHEN",2,"16-Mar-16","Lead",1,"Copper",0,"IDA AVE   ","FLINT",48503,"FS0269","Copper","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",0,"IDA AVE   ","FLINT",48503,"FS0269","Copper","KITCHEN",4
"432","16-Feb-16","Lead",0,"Copper",0,"WASHINGTON AVE   ","FLINT",48503,"FS0272","Galvanized","KITCHEN",1,"02-Mar-16","Lead",17,"Copper",0,"WASHINGTON AVE   ","FLINT",48503,"FS0272","Galvanized","KITCHEN",2,"16-Mar-16","Lead",15,"Copper",0,"WASHINGTON AVE   ","FLINT",48503,"FS0272","Galvanized","KITCHEN",3,"05-Apr-16","Lead",7,"Copper",0,"WASHINGTON AVE   ","FLINT",48503,"FS0272","Galvanized","KITCHEN",4
"280","16-Feb-16","Lead",3,"Copper",0,"MAXINE ST   ","FLINT",48503,"FS0281","Copper","KITCHEN",1,"03-Mar-16","Lead",2,"Copper",0,"MAXINE ST   ","FLINT",48503,"FS0281","Copper","KITCHEN",2,"16-Mar-16","Lead",4,"Copper",0,"MAXINE ST   ","FLINT",48503,"FS0281","Copper","KITCHEN",3,"30-Mar-16","Lead",7,"Copper",0,"MAXINE ST   ","FLINT",48503,"FS0281","Copper","KITCHEN",4
"242","16-Feb-16","Lead",2,"Copper",0,"E COURT ST  ","FLINT",48503,"FS0289","Copper","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",50,"E COURT ST  ","FLINT",48503,"FS0289","Copper","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",0,"E COURT ST  ","FLINT",48503,"FS0289","Copper","KITCHEN",3,"30-Mar-16","Lead",4,"Copper",0,"E COURT ST  ","FLINT",48503,"FS0289","Copper","KITCHEN",4
"197","16-Feb-16","Lead",1,"Copper",100,"MOUNTAIN AVE   ","FLINT",48503,"FS0294","Copper","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",100,"MOUNTAIN AVE   ","FLINT",48503,"FS0294","Copper","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",90,"MOUNTAIN AVE   ","FLINT",48503,"FS0294","Copper","KITCHEN",3,"30-Mar-16","Lead",1,"Copper",90,"MOUNTAIN AVE   ","FLINT",48503,"FS0294","Copper","KITCHEN",4
"245","16-Feb-16","Lead",2,"Copper",80,"COPEMAN BLVD   ","FLINT",48504,"FS0334","Copper","BATHROOM",1,"02-Mar-16","Lead",3,"Copper",90,"COPEMAN BLVD   ","FLINT",48504,"FS0334","Copper","BATHROOM",2,"16-Mar-16","Lead",31,"Copper",260,"COPEMAN BLVD   ","FLINT",48504,"FS0334","Copper","BATHROOM",3,"30-Mar-16","Lead",2,"Copper",80,"COPEMAN BLVD   ","FLINT",48504,"FS0334","Copper","BATHROOM",4
"495","16-Feb-16","Lead",3,"Copper",0,"W PATERSON ST  ","FLINT",48504,"FS0340","Galvanized","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",0,"W PATERSON ST  ","FLINT",48504,"FS0340","Galvanized","KITCHEN",2,"16-Mar-16","Lead",3,"Copper",60,"W PATERSON ST  ","FLINT",48504,"FS0340","Galvanized","KITCHEN",3,"30-Mar-16","Lead",3,"Copper",60,"W PATERSON ST  ","FLINT",48504,"FS0340","Galvanized","KITCHEN",4
"287","16-Feb-16","Lead",3,"Copper",80,"SLOAN ST   ","FLINT",48504,"FS0360","Copper","BATHROOM",1,"02-Mar-16","Lead",5,"Copper",70,"SLOAN ST   ","FLINT",48504,"FS0360","Copper","BATHROOM",2,"16-Mar-16","Lead",2,"Copper",0,"SLOAN ST   ","FLINT",48504,"FS0360","Copper","KITCHEN",3,"30-Mar-16","Lead",3,"Copper",150,"SLOAN ST   ","FLINT",48504,"FS0360","Copper","KITCHEN",4
"40","16-Feb-16","Lead",0,"Copper",100,"SLOAN ST   ","FLINT",48504,"FS0363","Copper","KITCHEN",1,"02-Mar-16","Lead",5,"Copper",180,"SLOAN ST   ","FLINT",48504,"FS0363","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",70,"SLOAN ST   ","FLINT",48504,"FS0363","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",70,"SLOAN ST   ","FLINT",48504,"FS0363","Copper","BATHROOM",4
"383","16-Feb-16","Lead",15,"Copper",120,"BEECHER RD   ","FLINT",48503,"FS0373","Copper","KITCHEN",1,"02-Mar-16","Lead",18,"Copper",230,"BEECHER RD   ","FLINT",48503,"FS0373","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",120,"BEECHER RD   ","FLINT",48503,"FS0373","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",120,"BEECHER RD   ","FLINT",48503,"FS0373","Copper","KITCHEN",4
