"","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number"
"506","24-Feb-16","Lead",3,"Copper",170,"BRANDON ST   ","FLINT",48503,"FS2228","Galvanized","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",140,"BRANDON ST   ","FLINT",48503,"FS2228","Galvanized","KITCHEN",2,"16-Mar-16","Lead",3,"Copper",190,"BRANDON ST   ","FLINT",48503,"FS2228","Galvanized","KITCHEN",3,"30-Mar-16","Lead",2,"Copper",140,"BRANDON ST   ","FLINT",48503,"FS2228","Galvanized","KITCHEN",4
"163","26-Feb-16","Lead",0,"Copper",0,"WOODROW AVE   ","FLINT",48506,"FS2233","Copper","KITCHEN",1,"07-Mar-16","Lead",0,"Copper",0,"WOODROW AVE   ","FLINT",48506,"FS2233","Copper","KITCHEN",2,"24-Mar-16","Lead",2,"Copper",0,"WOODROW AVE   ","FLINT",48506,"FS2233","Copper","KITCHEN",3,"31-Mar-16","Lead",0,"Copper",0,"WOODROW AVE   ","FLINT",48506,"FS2233","Copper","KITCHEN",4
"304","24-Feb-16","Lead",3,"Copper",80,"PIERCE ST   ","FLINT",48503,"FS2311","Copper","KITCHEN",1,"02-Mar-16","Lead",6,"Copper",90,"PIERCE ST   ","FLINT",48503,"FS2311","Copper","KITCHEN",2,"16-Mar-16","Lead",4,"Copper",60,"PIERCE ST   ","FLINT",48503,"FS2311","Copper","KITCHEN",3,"30-Mar-16","Lead",4,"Copper",70,"PIERCE ST   ","FLINT",48503,"FS2311","Copper","KITCHEN",4
"327","24-Feb-16","Lead",4,"Copper",100,"HOGARTH AVE   ","FLINT",48532,"FS2362","Copper","KITCHEN",1,"02-Mar-16","Lead",1,"Copper",120,"HOGARTH AVE   ","FLINT",48532,"FS2362","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",90,"HOGARTH AVE   ","FLINT",48532,"FS2362","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",100,"HOGARTH AVE   ","FLINT",48532,"FS2362","Copper","KITCHEN",4
"274","24-Feb-16","Lead",2,"Copper",0,"CHICAGO BLVD   ","FLINT",48503,"FS2363","Copper","KITCHEN",1,"02-Mar-16","Lead",1,"Copper",0,"CHICAGO BLVD   ","FLINT",48503,"FS2363","Copper","KITCHEN",2,"16-Mar-16","Lead",1,"Copper",0,"CHICAGO BLVD   ","FLINT",48503,"FS2363","Copper","KITCHEN",3,"30-Mar-16","Lead",2,"Copper",0,"CHICAGO BLVD   ","FLINT",48503,"FS2363","Copper","KITCHEN",4
"611","26-Feb-16","Lead",10,"Copper",80,"MAPLEWOOD AVE   ","FLINT",48506,"FS2367","Unknown","KITCHEN",1,"02-Mar-16","Lead",15,"Copper",80,"MAPLEWOOD AVE   ","FLINT",48506,"FS2367","Unknown","KITCHEN",2,"16-Mar-16","Lead",11,"Copper",80,"MAPLEWOOD AVE   ","FLINT",48506,"FS2367","Unknown","KITCHEN",3,"30-Mar-16","Lead",8,"Copper",60,"MAPLEWOOD AVE   ","FLINT",48506,"FS2367","Unknown","KITCHEN",4
"174","24-Feb-16","Lead",0,"Copper",80,"CALUMET ST   ","FLINT",48503,"FS2454","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",100,"CALUMET ST   ","FLINT",48503,"FS2454","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",60,"CALUMET ST   ","FLINT",48503,"FS2454","Copper","KITCHEN",3,"31-Mar-16","Lead",0,"Copper",80,"CALUMET ST   ","FLINT",48503,"FS2454","Copper","KITCHEN",4
"230","24-Feb-16","Lead",1,"Copper",140,"HERRICK ST   ","FLINT",48532,"FS2511","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",110,"HERRICK ST   ","FLINT",48532,"FS2511","Copper","KITCHEN",2,"16-Mar-16","Lead",1,"Copper",110,"HERRICK ST   ","FLINT",48532,"FS2511","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",100,"HERRICK ST   ","FLINT",48532,"FS2511","Copper","KITCHEN",4
"490","24-Feb-16","Lead",2,"Copper",60,"E MOORE ST  ","FLINT",48505,"FS2571","Galvanized","KITCHEN",1,"02-Mar-16","Lead",1,"Copper",80,"E MOORE ST  ","FLINT",48505,"FS2571","Galvanized","KITCHEN",2,"16-Mar-16","Lead",2,"Copper",60,"E MOORE ST  ","FLINT",48505,"FS2571","Galvanized","KITCHEN",3,"31-Mar-16","Lead",2,"Copper",80,"E MOORE ST  ","FLINT",48505,"FS2571","Galvanized","KITCHEN",4
"180","24-Feb-16","Lead",0,"Copper",0,"E MOORE ST  ","FLINT",48505,"FS2573","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"E MOORE ST  ","FLINT",48505,"FS2573","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"E MOORE ST  ","FLINT",48505,"FS2573","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"E MOORE ST  ","FLINT",48505,"FS2573","Copper","KITCHEN",4
"182","24-Feb-16","Lead",0,"Copper",80,"SHERWOOD DR   ","FLINT",48503,"FS2611","Copper","KITCHEN",1,"03-Mar-16","Lead",0,"Copper",60,"SHERWOOD DR   ","FLINT",48503,"FS2611","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",60,"SHERWOOD DR   ","FLINT",48503,"FS2611","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",60,"SHERWOOD DR   ","FLINT",48503,"FS2611","Copper","KITCHEN",4
"328","24-Feb-16","Lead",4,"Copper",70,"HILLS ST   ","FLINT",48503,"FS2626","Copper","KITCHEN",1,"02-Mar-16","Lead",2,"Copper",130,"HILLS ST   ","FLINT",48503,"FS2626","Copper","KITCHEN",2,"16-Mar-16","Lead",4,"Copper",130,"HILLS ST   ","FLINT",48503,"FS2626","Copper","KITCHEN",3,"30-Mar-16","Lead",2,"Copper",100,"HILLS ST   ","FLINT",48503,"FS2626","Copper","KITCHEN",4
"185","24-Feb-16","Lead",0,"Copper",60,"MILTON DR   ","FLINT",48507,"FS2683","Copper","KITCHEN",1,"03-Mar-16","Lead",1,"Copper",80,"MILTON DR   ","FLINT",48507,"FS2683","Copper","KITCHEN",2,"17-Mar-16","Lead",10,"Copper",100,"MILTON DR   ","FLINT",48507,"FS2683","Copper","KITCHEN",3,"31-Mar-16","Lead",0,"Copper",90,"MILTON DR   ","FLINT",48507,"FS2683","Copper","KITCHEN",4
"187","24-Feb-16","Lead",0,"Copper",0,"CRAWFORD ST   ","FLINT",48507,"FS2715","Copper","KITCHEN",1,"03-Mar-16","Lead",0,"Copper",0,"CRAWFORD ST   ","FLINT",48507,"FS2715","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",60,"CRAWFORD ST   ","FLINT",48507,"FS2715","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"CRAWFORD ST   ","FLINT",48507,"FS2715","Copper","KITCHEN",4
